[2025-02-18 22:20:22.019] [info]  [db] Initialized DB client
[2025-02-18 22:20:22.068] [info]  Redirecting to last visited project proj_8fdc830c9d004c98a7dcb47804883a48
[2025-02-18 22:20:22.288] [info]  [FileSystemDriver] Initialized in "/home/alberto/.config/Insomnia/version-control"
[2025-02-18 22:20:22.293] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:22.294] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:22.295] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.48e2122b-da3b-4efa-a5a5-40825a3468a2.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:22.335] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:22.336] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:22.336] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.ecaf6b64-c60d-4d36-a8cc-52c2d894866c.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:24.003] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:24.003] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:24.004] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.7ba53f99-e542-432f-a253-2b4af5c94ce5.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:25.900] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:25.900] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:25.900] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.9b1f86e6-ff06-4ba9-9fd2-aff0b1a99ad4.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:35.226] [info]  [network] Response succeeded req=req_3ab3e14329994cf28b1caa35601cb04a status=403
[2025-02-18 22:20:35.360] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:35.360] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:35.361] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.b3a2c43d-5fd7-4bb5-b35f-faba5a69e48a.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:41.930] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:41.930] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:41.931] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.ccfdad6d-9fab-4597-bf8d-f84942db0691.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:50.596] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:50.596] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:50.597] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.fcce446f-b70f-4536-bb5a-b8cb5dd07241.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:54.629] [info]  [network] Response succeeded req=req_82b1d58eda3c4d9e98e0bebb0e4c7fd0 status=403
[2025-02-18 22:20:54.769] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:20:54.769] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:20:54.770] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.82648f48-c3b1-4540-9815-6d157f76f747.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:22:54.058] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:22:54.059] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:22:54.059] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.59be881e-792a-4e88-8204-27d308f057f9.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:22:55.722] [info]  [network] Response succeeded req=req_82b1d58eda3c4d9e98e0bebb0e4c7fd0 status=403
[2025-02-18 22:22:55.857] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:22:55.858] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:22:55.858] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.3f203c4e-6435-448a-995b-400960fba16d.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:26:51.209] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:26:51.210] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:26:51.210] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.35add189-ae4d-4120-8898-9822e1835468.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:26:54.032] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:26:54.033] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:26:54.035] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.92dec910-023f-4b45-9ccf-9c511d1efda2.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:16.185] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:56:16.185] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:16.186] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.530cc79d-2082-462e-943c-52611ac8fb02.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:32.264] [info]  [network] Response succeeded req=req_b8dfca7cea8b41bbb999a4942f6119c9 status=403
[2025-02-18 22:56:32.359] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:56:32.360] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:32.360] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.4ee0c8b4-be7d-4180-bbcb-0e4c4c34a21f.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:49.654] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:56:49.654] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:49.655] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.ded9e61c-3848-421c-9347-19268fa245d0.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:51.296] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:56:51.297] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:56:51.297] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.031db6f9-e869-4c08-ab1e-05cdaf7a9325.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:57:43.029] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:57:43.029] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:57:43.030] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.836b3b4d-2e73-43e6-bc72-204a1d713db5.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:57:43.768] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:57:43.768] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:57:43.769] [info]  [FileSystemDriver] Writing to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json.0c695abc-4855-4bd6-a60c-a985a66c77d3.tmp then renaming to /home/alberto/.config/Insomnia/version-control/projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
[2025-02-18 22:57:46.377] [info]  [network] Response succeeded req=req_b8dfca7cea8b41bbb999a4942f6119c9 status=403
[2025-02-18 22:57:46.494] [info]  [sync] Activated project prj_42d606abc8d04822aa2a1ef59edd33fd
[2025-02-18 22:57:46.494] [info]  [FileSystemDriver] Writing to /projects/prj_42d606abc8d04822aa2a1ef59edd33fd/meta.json
